Series ID,View Description,"Annual
2003","Annual
2004","Annual
2005","Annual
2006","Annual
2007","Annual
2008","Annual
2009","Annual
2010","Annual
2011","Annual
2012","Annual
2013"
CXULIFEINSRLB1105M,12-Month Percent Change,0.6,2.9,-8.7,-6.7,-13.8,1.1,-1.1,6.5,1.1,13.5,-7.8
CXULIFEINSRLB1201M,Original Data Value,593,688,504,450,398,446,400,496,477,627,537
CXULIFEINSRLB1201M,12-Month Net Change,49,95,-184,-54,-52,48,-46,96,-19,150,-90
CXULIFEINSRLB1201M,12-Month Percent Change,9.0,16.0,-26.7,-10.7,-11.6,12.1,-10.3,24.0,-3.8,31.4,-14.4
CXULIFEINSRLB1301M,Original Data Value,397,390,381,322,309,317,309,318,317,353,
CXULIFEINSRLB1301M,12-Month Net Change,-9,-7,-9,-59,-13,8,-8,9,-1,36,
CXULIFEINSRLB1301M,12-Month Percent Change,-2.2,-1.8,-2.3,-15.5,-4.0,2.6,-2.5,2.9,-0.3,11.4,
CXULIFEINSRLB1401M,Original Data Value,,,,,,,,,,353,319
CXULIFEINSRLB1401M,12-Month Net Change,,,,,,,,,,,-34
CXULIFEINSRLB1401M,12-Month Percent Change,,,,,,,,,,,-9.6
