"category","demo_code","char_text","year","mean"
"Rented dwellings","LB11","Region of residence: south",2007,2072
"Rented dwellings","LB11","Region of residence: south",2008,2297
"Rented dwellings","LB11","Region of residence: south",2009,2361
"Rented dwellings","LB11","Region of residence: south",2010,2353
"Rented dwellings","LB11","Region of residence: south",2011,2505
"Rented dwellings","LB11","Region of residence: south",2012,2617
"Rented dwellings","LB11","Region of residence: south",2013,2670
"Rented dwellings","LB11","Region of residence: west",1984,1587
"Rented dwellings","LB11","Region of residence: west",1985,1714
"Rented dwellings","LB11","Region of residence: west",1986,1722
"Rented dwellings","LB11","Region of residence: west",1987,1961
"Rented dwellings","LB11","Region of residence: west",1988,2185
"Rented dwellings","LB11","Region of residence: west",1989,2072
"Rented dwellings","LB11","Region of residence: west",1990,2077
